model	name	type	hash	6.1	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0
ir.module.module		merge	PROJECT_TIMESHEET|HR_TIMESHEET	project_timesheet	project_timesheet	project_timesheet	project_timesheet	hr_timesheet	hr_timesheet	hr_timesheet	hr_timesheet	hr_timesheet
ir.module.module		merge	PURCHASE_STOCK_PICKING_RETURN_INVOICING_OPEN_QTY|PURCHASE_STOCK_PICKING_RETURN_INVOICING	purchase_stock_picking_return_invoicing_open_qty	purchase_stock_picking_return_invoicing_open_qty	purchase_stock_picking_return_invoicing_open_qty	purchase_stock_picking_return_invoicing_open_qty	purchase_stock_picking_return_invoicing	purchase_stock_picking_return_invoicing	purchase_stock_picking_return_invoicing	purchase_stock_picking_return_invoicing	purchase_stock_picking_return_invoicing
ir.module.module		merge	REPORT_XLS|REPORT_XLSX	report_xls	report_xls	report_xls	report_xlsx	report_xlsx	report_xlsx	report_xlsx	report_xlsx	report_xlsx
ir.module.module		merge	SALE_DOCUMENTS_COMMENTS|SALE_COMMENT_PROPAGATION	sale_documents_comments	sale_documents_comments	sale_documents_comments	sale_comment_propagation	sale_comment_propagation	sale_comment_propagation	sale_comment_propagation	sale_comment_propagation	sale_comment_propagation
ir.module.module		merge	SALE_FISCAL_POSITION_UPDATE|SALE	sale_fiscal_position_update	sale_fiscal_position_update	sale_fiscal_position_update	sale	sale	sale	sale	sale	sale
ir.module.module		merge	SALE_JOURNAL|SALE_ORDER_TYPE	sale_journal	sale_journal	sale_journal	sale_order_type	sale_order_type	sale_order_type	sale_order_type	sale_order_type	sale_order_type
ir.module.module		merge	SALE_ORDER_BACK2DRAFT|SALE	sale_order_back2draft	sale_order_back2draft	sale_order_back2draft	sale	sale	sale	sale	sale	sale
ir.module.module		merge	SALE_SERVICE|SALE_TIMESHEET	sale_service	sale_service	sale_service	sale_service	sale_timesheet	sale_timesheet	sale_timesheet	sale_timesheet	sale_timesheet
ir.module.module		merge	SALE_STOCK_PICKING_RETURN_INVOICING|SALE_STOCK	sale_stock_picking_return_invoicing	sale_stock_picking_return_invoicing	sale_stock_picking_return_invoicing	sale_stock_picking_return_invoicing	sale_stock	sale_stock	sale_stock	sale_stock	sale_stock
ir.module.module		merge	SHARE|BASE	share	share	share	share	base	base	base	base	base
ir.module.module		merge	SHELL|BASE	shell	shell	shell	base	base	base	base	base	base
ir.module.module		merge	STOCK_DROPSHIPPING_DUAL_INVOICE|STOCK_DROPSHIPPING	stock_dropshipping_dual_invoice	stock_dropshipping_dual_invoice	stock_dropshipping_dual_invoice	stock_dropshipping	stock_dropshipping	stock_dropshipping	stock_dropshipping	stock_dropshipping	stock_dropshipping
ir.module.module		merge	STOCK_SCRAP|STOCK	stock_scrap	stock_scrap	stock_scrap	stock_scrap	stock	stock	stock	stock	stock
ir.module.module		merge	WEB_EASY_SWITCH_COMPANY|WEB	web_easy_switch_company	web_easy_switch_company	web_easy_switch_company	web_easy_switch_company	web	web	web	web	web
ir.module.module		merge	WEB_GANTT|WEB	web_gantt	web_gantt	web_gantt	web	web	web	web	web	web
ir.module.module		merge	WEB_GRAPH|WEB	web_graph	web_graph	web_graph	web	web	web	web	web	web
ir.module.module		merge	WEB_KANBAN_SPARKLINE|WEB	web_kanban_sparkline	web_kanban_sparkline	web_kanban_sparkline	web	web	web	web	web	web
ir.module.module		merge	WEB_TESTS|WEB	web_tests	web_tests	web_tests	web	web	web	web	web	web
ir.module.module		merge	WEB_TIP|WEB	web_tip	web_tip	web_tip	web_tip	web	web	web	web	web
ir.module.module		merge	WEB_VIEW_EDITOR|WEB	web_view_editor	web_view_editor	web_view_editor	web_view_editor	web	web	web	web	web
ir.module.module		merge	WEBSITE_BLOG_MGMT|WEBSITE_BLOG	website_blog_mgmt	website_blog_mgmt	website_blog_mgmt	website_blog_mgmt	website_blog	website_blog	website_blog	website_blog	website_blog
ir.module.module		merge	WEBSITE_BLOG_SHARE|WEBSITE_BLOG	website_blog_share	website_blog_share	website_blog_share	website_blog_share	website_blog	website_blog	website_blog	website_blog	website_blog
ir.module.module		merge	WEBSITE_EVENT_REGISTER_FREE_WITH_SALE|WEBSITE_EVENT_SALE	website_event_register_free_with_sale	website_event_register_free_with_sale	website_event_register_free_with_sale	website_event_sale	website_event_sale	website_event_sale	website_event_sale	website_event_sale	website_event_sale
ir.module.module		merge	WEBSITE_EVENT_REGISTER_FREE|WEBSITE_EVENT	website_event_register_free	website_event_register_free	website_event_register_free	website_event	website_event	website_event	website_event	website_event	website_event
ir.module.module		merge	WEBSITE_MAIL_SNIPPET_BG_COLOR|WEB_EDITOR_BACKGROUND_COLOR	website_mail_snippet_bg_color	website_mail_snippet_bg_color	website_mail_snippet_bg_color	web_editor_background_color	web_editor_background_color	web_editor_background_color	web_editor_background_color	web_editor_background_color	web_editor_background_color
ir.module.module		merge	WEBSITE_MAIL_SNIPPET_TABLE_EDIT|MASS_MAILING	website_mail_snippet_table_edit	website_mail_snippet_table_edit	website_mail_snippet_table_edit	mass_mailing	mass_mailing	mass_mailing	mass_mailing	mass_mailing	mass_mailing
ir.module.module		merge	WEBSITE_REPORT|REPORT	website_report	website_report	website_report	report	report	report	report	report	report
ir.module.module		merge	WEBSITE_SALE_B2C|SALE	website_sale_b2c	website_sale_b2c	website_sale_b2c	website_sale_b2c	sale	sale	sale	sale	sale
ir.module.module		merge	WEBSITE_SALE_COLLAPSE_CATEGORIES|WEBSITE_SALE	website_sale_collapse_categories	website_sale_collapse_categories	website_sale_collapse_categories	website_sale	website_sale	website_sale	website_sale	website_sale	website_sale
ir.module.module		merge	WEBSITE_SALE_STOCK_CONTROL|WEBSITE_SALE_STOCK	website_sale_stock_control	website_sale_stock_control	website_sale_stock_control	website_sale_stock_control	website_sale_stock	website_sale_stock	website_sale_stock	website_sale_stock	website_sale_stock
ir.module.module		module	ACCOUNT_ANALYTIC_ANALYSIS|CONTRACT	account_analytic_analysis	account_analytic_analysis	account_analytic_analysis	contract	contract	contract	contract	contract	contract
ir.module.module		module	ACCOUNT_ANALYTIC_PLAN_REQUIRED|ACCOUNT_ANALYTIC_DISTRIBUTION_REQUIRED	account_analytic_plan_required	account_analytic_plan_required	account_analytic_plan_required	account_analytic_distribution_required	account_analytic_distribution_required	account_analytic_distribution_required	account_analytic_distribution_required	account_analytic_distribution_required	account_analytic_distribution_required
